variavel,threshold,precision,recall,f1_score
precipitation_probability_55km,0,0.42761168962042323,0.9125448028673835,0.5823421774931381
precipitation_probability_55km,5,0.4876668014557218,0.864516129032258,0.6235780765253361
precipitation_probability_55km,10,0.5290352080475538,0.8293906810035843,0.6460078168620882
precipitation_probability_55km,15,0.5734157650695518,0.7978494623655914,0.6672661870503597
precipitation_probability_55km,20,0.6054576463899943,0.7634408602150538,0.6753329105897273
precipitation_probability_55km,25,0.635673624288425,0.7204301075268817,0.6754032258064516
precipitation_probability_55km,30,0.648224043715847,0.6802867383512545,0.6638684854844351
precipitation_probability_55km,35,0.678680981595092,0.6344086021505376,0.6557984438680993
precipitation_probability_55km,40,0.7051826677994902,0.5949820788530465,0.645412130637636
precipitation_probability_55km,45,0.7444551591128254,0.5534050179211469,0.6348684210526315
precipitation_probability_55km,50,0.7622601279317697,0.5125448028673835,0.6129447063866267
precipitation_probability_55km,55,0.7966706302021404,0.48028673835125446,0.5992844364937389
precipitation_probability_55km,60,0.8283378746594006,0.43584229390681006,0.5711601690934711
precipitation_probability_55km,65,0.8355957767722474,0.3971326164874552,0.5383867832847424
precipitation_probability_55km,70,0.8513986013986014,0.34910394265232975,0.49517031011692936
precipitation_probability_55km,75,0.8678861788617886,0.3060931899641577,0.45257021727609964
precipitation_probability_55km,80,0.8880208333333334,0.24444444444444444,0.38336143901068015
precipitation_probability_55km,85,0.9,0.1935483870967742,0.3185840707964602
precipitation_probability_55km,90,0.902127659574468,0.15197132616487455,0.26012269938650306
precipitation_probability_55km,95,0.9112426035502958,0.11039426523297491,0.1969309462915601
precipitation_probability_55km,100,0.0,0.0,0.0
