time,precipitation_probability_20km,lwe_precipitation_smooth_rate_maximum_20km,precipitation_probability_20km_bin,lwe_precipitation_smooth_rate_maximum_20km_bin,parada_recomendada
2024-10-30 03:00:00,40.0,1.3671875,1,1,1
2024-10-30 04:00:00,8.0,0.484375,0,1,1
2024-10-30 05:00:00,16.0,0.484375,1,1,1
2024-10-30 06:00:00,20.0,0.2578125,1,0,1
2024-10-30 07:00:00,20.0,0.1484375,1,0,1
2024-10-30 08:00:00,12.0,0.1171875,0,0,0
2024-10-30 09:00:00,20.0,0.390625,1,0,1
2024-10-30 10:00:00,24.0,0.6640625,1,1,1
2024-10-30 11:00:00,28.0,0.75,1,1,1
2024-10-30 12:00:00,52.0,2.0703125,1,1,1
2024-10-30 13:00:00,76.0,2.0546875,1,1,1
2024-10-30 14:00:00,52.0,2.46875,1,1,1
2024-10-30 15:00:00,56.0,1.7421875,1,1,1
2024-10-30 16:00:00,60.0,1.875,1,1,1
2024-10-30 17:00:00,92.0,1.65625,1,1,1
2024-10-30 18:00:00,80.0,1.21875,1,1,1
2024-10-30 19:00:00,92.0,1.0859375,1,1,1
2024-10-30 20:00:00,88.0,2.4453125,1,1,1
2024-10-30 21:00:00,92.0,2.0546875,1,1,1
2024-10-30 22:00:00,80.0,2.609375,1,1,1
2024-10-30 23:00:00,72.0,1.5390625,1,1,1
2024-10-31 00:00:00,76.0,1.3984375,1,1,1
2024-10-31 01:00:00,64.0,1.0,1,1,1
2024-10-31 02:00:00,44.0,0.7890625,1,1,1
2024-10-31 03:00:00,40.0,1.5234375,1,1,1
