time,precipitation_probability_55km,precipitation_probability_55km_bin,parada_recomendada
2024-10-30 03:00:00,40.828125,1,1
2024-10-30 04:00:00,30.179688,1,1
2024-10-30 05:00:00,28.40625,1,1
2024-10-30 06:00:00,24.257812,0,0
2024-10-30 07:00:00,28.992188,1,1
2024-10-30 08:00:00,34.320312,1,1
2024-10-30 09:00:00,39.648438,1,1
2024-10-30 10:00:00,36.6875,1,1
2024-10-30 11:00:00,43.789062,1,1
2024-10-30 12:00:00,52.664062,1,1
2024-10-30 13:00:00,46.742188,1,1
2024-10-30 14:00:00,42.601562,1,1
2024-10-30 15:00:00,62.132812,1,1
2024-10-30 16:00:00,62.71875,1,1
2024-10-30 17:00:00,71.59375,1,1
2024-10-30 18:00:00,67.453125,1,1
2024-10-30 19:00:00,66.86719,1,1
2024-10-30 20:00:00,66.86719,1,1
2024-10-30 21:00:00,61.539062,1,1
2024-10-30 22:00:00,47.929688,1,1
2024-10-30 23:00:00,41.421875,1,1
2024-10-31 00:00:00,43.789062,1,1
2024-10-31 01:00:00,39.054688,1,1
2024-10-31 02:00:00,36.09375,1,1
2024-10-31 03:00:00,30.765625,1,1
