time,lwe_precipitation_smooth_rate_maximum_35km,lwe_precipitation_smooth_rate_maximum_55km,precipitation_probability_55km,lwe_precipitation_smooth_rate_maximum_35km_bin,lwe_precipitation_smooth_rate_maximum_55km_bin,precipitation_probability_55km_bin,parada_recomendada
2024-12-12 03:00:00,0.796875,1.9296875,26.625,1,1,1,1
2024-12-12 04:00:00,0.5546875,0.5546875,18.9375,1,0,0,1
2024-12-12 05:00:00,0.5078125,0.5078125,12.4296875,1,0,0,1
2024-12-12 06:00:00,0.3828125,0.3828125,2.9609375,0,0,0,0
2024-12-12 07:00:00,0.125,0.1484375,1.7734375,0,0,0,0
2024-12-12 08:00:00,0.1328125,0.15625,2.3671875,0,0,0,0
2024-12-12 09:00:00,0.0,0.0,0.0,0,0,0,0
2024-12-12 10:00:00,0.1484375,0.1484375,4.140625,0,0,0,0
2024-12-12 11:00:00,0.171875,0.1875,8.28125,0,0,0,0
2024-12-12 12:00:00,0.3125,0.3125,8.28125,0,0,0,0
2024-12-12 13:00:00,0.484375,0.484375,11.8359375,0,0,0,0
2024-12-12 14:00:00,0.6875,0.6875,21.304688,1,0,0,1
2024-12-12 15:00:00,0.4453125,1.3203125,24.257812,0,1,0,0
2024-12-12 16:00:00,0.3984375,0.7265625,24.851562,0,0,0,0
2024-12-12 17:00:00,0.6484375,0.6484375,18.9375,1,0,0,1
2024-12-12 18:00:00,0.8515625,0.8515625,15.9765625,1,0,0,1
2024-12-12 19:00:00,1.4140625,1.4140625,18.34375,1,1,0,1
2024-12-12 20:00:00,1.03125,1.0859375,12.4296875,1,0,0,1
2024-12-12 21:00:00,0.984375,0.984375,15.3828125,1,0,0,1
2024-12-12 22:00:00,1.109375,1.109375,17.75,1,1,0,1
2024-12-12 23:00:00,0.515625,0.875,26.625,1,0,1,1
2024-12-13 00:00:00,0.625,0.625,23.671875,1,0,0,1
2024-12-13 01:00:00,0.2578125,0.28125,21.304688,0,0,0,0
2024-12-13 02:00:00,0.640625,0.640625,26.039062,1,0,1,1
2024-12-13 03:00:00,0.8046875,0.8046875,29.585938,1,0,1,1
